C9	-3.0	-3.0	-0.000434511774018	-0.000434511774018	-1.00028967452	-2.00014483726	-3.0	-0.0489754414184	-2.52451041088	-2.74634220802	-0.99248265544	-4.41194128977	-5.00091297737	-4.17089057722
C8	-3.0	-3.0	-0.000434511774018	-3.0	-3.0	-0.000434511774018	-0.000434511774018	-1.02476493238	-1.41617235144	-0.637621210353	-1.35592002384	-2.28349833889	-1.68185106735	-0.246593911948
C2	-3.0	-3.0	-0.000434511774018	-0.000434511774018	-3.0	-0.000434511774018	-1.50021725589	-0.0489754414184	-2.52451041088	-2.74634220802	-0.99248265544	-4.41194128977	-5.00091297737	-4.17089057722
C4	-3.0	-3.0	-0.000434511774018	-3.0	-0.000434511774018	-3.0	-1.50021725589	-2.07424094936	-3.69712600165	-1.53639813064	-1.47648244329	-0.175280103513	-0.602454509856	-1.94994134587
C7	-3.0	-3.0	-0.000434511774018	-3.0	-0.000434511774018	-3.0	-0.000434511774018	-1.02476493238	-1.41617235144	-0.637621210353	-1.35592002384	-2.28349833889	-1.68185106735	-0.246593911948
C0	-3.0	-3.0	-3.0	-3.0	-3.0	-3.0	-3.0	-3.80780902401	-1.04807459001	-0.0408421750971	-5.10853836929	-4.35515980003	-4.56754864559	-7.61760649182
C5	-3.0	-3.0	-0.000434511774018	-3.0	-0.000434511774018	-0.000434511774018	-3.0	-1.49983109639	-2.99491079645	-2.46708765471	-1.37035197763	-1.075668308	-0.373446175433	-1.48908164332
C1	-3.0	-3.0	-0.000434511774018	-3.0	-3.0	-0.000434511774018	-1.50021725589	-0.925421243418	-2.29269559124	-3.39777717877	-1.26422151196	-1.97605651248	-0.144437841011	-1.02822194076
C3	-3.0	-3.0	-0.000434511774018	-3.0	-3.0	-3.0	-3.0	-3.16292822491	-1.86043573382	-0.313927070273	-2.09573953947	-0.683459362001	-0.546979957528	-2.976842231
C6	-3.0	-3.0	-0.000434511774018	-0.000434511774018	-0.000434511774018	-3.0	-0.000434511774018	-0.0489754414184	-2.52451041088	-2.74634220802	-0.99248265544	-4.41194128977	-5.00091297737	-4.17089057722
